2021-02-06 10:36:58,801 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:37:03,805 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:37:08,810 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:37:13,816 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:37:18,818 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:37:23,821 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:37:28,826 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:37:33,830 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:37:38,833 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:37:43,837 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:37:48,841 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:37:53,845 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:37:58,850 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:38:03,853 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:38:08,857 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:38:13,861 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:38:18,866 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:38:23,870 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:38:28,873 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:38:33,877 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:38:38,881 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:38:43,886 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:38:48,891 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:38:53,893 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:38:58,898 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:39:03,901 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:39:08,905 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:39:13,909 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:39:18,913 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:39:23,917 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:39:28,922 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:39:33,926 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:39:38,930 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:39:43,933 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:39:48,937 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:39:53,942 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:39:58,945 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:40:03,949 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:40:08,953 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:40:13,957 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:40:18,961 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:40:23,965 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:40:28,969 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:40:33,973 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:40:38,977 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
