2021-02-05 16:26:52,434 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:26:52,818 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:26:57,437 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:26:57,820 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:27:02,442 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:27:02,821 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:27:07,446 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:27:07,825 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:27:12,451 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:27:12,826 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:27:17,456 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:27:17,831 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:27:22,456 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:27:22,836 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:27:27,462 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:27:27,841 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:27:32,465 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:27:32,846 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:27:37,466 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:27:37,847 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:27:42,467 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:27:42,848 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:27:47,468 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:27:47,851 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:27:52,473 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:27:52,852 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:27:57,475 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:27:57,856 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:28:02,475 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:28:02,860 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:28:07,476 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:28:07,864 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:28:12,482 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:28:12,869 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:28:17,487 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:28:17,872 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:28:22,490 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:28:22,877 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:28:27,496 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:28:27,882 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:28:32,496 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:28:32,886 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:28:37,500 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:28:37,890 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:28:42,506 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:28:42,894 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:28:47,510 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:28:47,898 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:28:52,511 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:28:52,902 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
