2021-02-06 01:27:53,795 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:27:58,798 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:28:03,803 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:28:08,806 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:28:13,811 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:28:18,816 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:28:23,819 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:28:28,822 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:28:33,827 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:28:38,829 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:28:43,834 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:28:48,838 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:28:53,842 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:28:58,847 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:29:03,852 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:29:08,857 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:29:13,858 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 14:19:33,314 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:19:38,319 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:19:43,322 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:19:48,324 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:19:53,329 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:19:58,335 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:20:03,340 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:20:08,345 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:20:13,351 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:20:18,354 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:20:23,359 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:20:28,363 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:20:33,369 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:20:38,374 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:20:43,380 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:20:48,385 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:20:53,389 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:20:58,390 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:21:03,394 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:21:08,399 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:21:13,405 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:21:18,410 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:21:23,412 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:21:28,414 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:21:33,420 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:21:38,425 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:21:43,428 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:21:48,433 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:21:53,436 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:21:58,441 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:22:03,443 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:22:08,447 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:22:13,451 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:22:18,454 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:22:23,459 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:22:28,464 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:22:33,468 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:22:38,473 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:22:43,474 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:22:48,478 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:22:53,484 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:22:58,489 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:23:03,493 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:23:08,499 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:23:13,504 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:23:18,509 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:23:23,514 - INFO - {'key2': '1', 'key1': '1.2', 'key3': 'localhost:9090'}
2021-02-06 14:29:20,038 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-06 14:29:25,041 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-06 14:29:30,044 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-06 14:29:35,049 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-06 14:29:40,054 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-06 14:32:29,677 - INFO - {'key1': '1.2', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 14:32:34,682 - INFO - {'key1': '1.2', 'key2': '1', 'key3': 'localhost:9090'}
